make_model_fac,panel_year,n_total,has_both,sample
All-SW|Mixed-Or-Other|10-14yr,2017,7737,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2018,7592,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2013,5508,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2014,5442,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2015,5396,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2016,5329,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2017,5272,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2018,5218,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1990,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1991,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1992,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1993,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1994,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1995,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1996,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1997,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1998,5375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,1999,5354,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2000,4829,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2001,4638,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2002,4493,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2003,4341,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2004,4227,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2005,4114,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2006,4014,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2007,3923,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2008,3796,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2009,3695,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2010,3603,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2011,3535,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2012,3472,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2013,3421,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2014,3377,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2015,3332,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2016,3283,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2017,3239,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|15-19yr,2018,3201,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1990,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1991,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1992,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1993,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1994,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1995,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1996,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1997,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1998,5933,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,1999,5914,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2000,5438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2001,5270,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2002,5118,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2003,4968,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2004,4823,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2005,4687,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2006,4553,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2007,4417,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2008,4261,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2009,4128,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|10-14yr,2010,4007,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1990,2295,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1991,2800,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1992,3110,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1993,3438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1994,3438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1995,3438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1996,3438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1997,3438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1998,3438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,1999,3438,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2000,3348,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2001,3295,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2002,3232,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2003,3158,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2004,3080,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2005,3005,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2006,2934,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2007,2823,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2008,2728,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2009,2654,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2010,2569,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2011,2500,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2012,2457,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2013,2418,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2014,2375,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2015,2349,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2016,2330,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2017,2301,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|5-9yr,2018,2262,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1990,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1991,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1992,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1993,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1994,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1995,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1996,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1997,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1998,10046,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,1999,10002,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2000,9062,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2001,8725,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2002,8468,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2003,8225,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2004,8003,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2005,7837,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2006,7702,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2007,7566,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2008,7403,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1990,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1991,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1992,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1993,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1994,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1995,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1996,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1997,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1998,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,1999,379,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2000,371,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2001,369,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2002,364,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2003,361,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2004,357,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2005,354,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2006,352,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2007,349,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2008,343,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2009,339,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2010,330,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2011,330,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2012,327,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2013,326,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2014,324,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2015,322,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2016,314,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2017,308,1,Full incumbent (no CEM)
Mixed|Mixed-Or-Other|10-14yr,2018,301,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2009,7252,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2010,7126,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2011,7029,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2012,6982,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2013,6920,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2014,6863,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2015,6822,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2016,6782,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2017,6725,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|25yr+,2018,6667,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1990,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1991,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1992,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1993,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1994,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1995,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1996,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1997,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1998,4731,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,1999,4696,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2000,4196,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2001,4038,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2002,3931,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2003,3821,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2004,3733,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2005,3649,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2006,3567,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2007,3494,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2008,3379,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2009,3290,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2010,3224,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2011,3158,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2012,3112,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2013,3079,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2014,3050,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2015,3019,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2016,2991,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2017,2975,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|20-24yr,2018,2954,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1990,1740,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1991,1724,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1992,1697,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1993,1667,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1994,2015,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1995,2409,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1996,2799,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1997,3182,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1998,3589,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,1999,3588,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2000,3558,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2001,3539,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2002,3517,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2003,3482,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2004,3448,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2005,3407,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2006,3362,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2007,3315,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2008,3260,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2009,3208,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2010,3165,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2011,3118,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2012,3077,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2013,3045,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2014,3014,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2015,2977,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2016,2941,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2017,2913,1,Full incumbent (no CEM)
All-SW|Gasoline-Only|0-4yr,2018,2880,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1990,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1991,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1992,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1993,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1994,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1995,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1996,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1997,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1998,8213,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,1999,8196,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2000,7718,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2001,7537,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2002,7393,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2003,7242,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2004,7092,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2005,6963,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2006,6855,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2007,6743,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2008,6605,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2009,6491,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2010,6389,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2011,6272,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2012,6177,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2013,6070,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2014,5968,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2015,5847,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2016,5764,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2017,5679,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|15-19yr,2018,5575,1,Full incumbent (no CEM)
